Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity
27,27,27,29.6,0,0,0,10.5,27.5,78.78
26.2,26.2,26.2,,0,0,0,10,15,79.31
26,26,26,,0,0,0,10,0,78.64
25,25,25,,0,3.6,190,10,0,83.45
24.3,24.3,24.3,,0,0,0,10.3,28.3,87.03
24,24,24,,0,0,0,3,27.5,88.6
,,,,0,,,,,
23.9,23.9,23.9,,0,3.6,220,3,30,88.59
23,23,23,,0,0,0,3,27.5,88.52
23.1,23.1,23.1,,0,0,,3,50,88.52
23.7,23.7,23.7,,0,7.6,250,3,80,89.66
25.1,25.1,25.1,,0,7.6,210,3,30,83.46
27,27,27,29.6,0,7.6,190,3,0,78.78
28.2,28.2,28.2,31.5,0,9.4,120,3,45,73.29
29.1,29.1,29.1,31.4,0,9.4,90,8,30,62.07
29.1,29.1,29.1,32.1,0,16.6,90,9,0,65.99
29.5,29.5,29.5,31.1,0,18.4,90,10,30,54.97
29,29,29,30.8,0,20.5,100,10,0,58.35
29,29,29,31.4,0,20.5,90,10,0,62.06
28.4,28.4,28.4,30.7,0,16.6,70,10,30,64.53
28,28,28,30.1,0,14.8,100,10.5,0,65.77
27.1,27.1,27.1,28.9,0,14.8,100,11,30,69.74
27.8,27.8,27.8,29.8,0,16.6,100,10.5,60,66.34
27,27,27,28.8,0,16.6,100,10.5,27.5,69.74
27,27,27,28.8,0,14.8,90,10.5,27.5,69.74
26,26,26,,0,7.6,140,10.3,45,70.69
24,24,24,,0,1.8,150,10.5,27.5,73.63
,,,,0,,,,,
24.1,24.1,24.1,,0,7.6,260,10.3,26.6,83.35
,,,,0,,,,,
,,,,0,,,,,
22.2,22.2,22.2,,0,0,0,6,16.6,88.82
,,,,0,,,,,
22,22,22,,0,1.8,250,3,0,88.44
23.8,23.8,23.8,,0,0,0,7.3,16.6,88.22
27.1,27.1,27.1,28.9,0,1.8,,8,0,69.74
28,28,28,30.1,0,9.4,170,9,0,65.77
29.2,29.2,29.2,30.8,0,11.2,140,10.5,40,56.61
29,29,29,30.3,0,13,100,10.5,27.5,54.83
,,,,0,,,,,
30.2,30.2,30.2,32.4,0,14.8,90,10.3,35,55.94
30,30,30,31.3,0,18.4,70,10.5,27.5,51.76
,,,,0,,,,,
30,30,30,31.3,0,13,50,10.3,35,51.13
29,29,29,30.8,0,9.4,70,10.5,27.5,58.35
26,26,26,,0,9.4,100,10.5,27.5,69.55
26.7,26.7,26.7,28.5,0,9.4,110,10.3,35,71.42
26,26,26,,0,13,100,10.5,27.5,73.97
26,26,26,,0,9.4,120,10.5,27.5,73.97
27.3,27.3,27.3,29.5,0,1.2,,10.3,53.3,71.22
,,,,0,,,,,
24,24,24,,0,9.4,270,10.5,27.5,78.35
24.1,24.1,24.1,,0,9.4,280,7,31.7,79.51
,,,,0,,,,,
,,,,0,,,,,
22.3,22.3,22.3,,0,5.4,260,4,13.3,87.56
22.1,22.1,22.1,,0,0,,4,0,88.44
22,22,22,,0,1.8,220,6,0,88.44
23.4,23.4,23.4,,0,0,,6,30,85.88
26,26,26,,0,7.6,100,6,0,73.97
28,28,28,30.1,0,5.4,140,9,27.5,65.77
28.7,28.7,28.7,31,0,8.3,130,9,45,63.54
29,29,29,31.4,0,13,130,10.5,27.5,62.06
29,29,29,31.4,0,16.6,120,10.5,27.5,62.06
30.7,30.7,30.7,33,0,18.4,140,10,40,54.9
30,30,30,33.3,0,18.4,100,10,0,62.28
29.1,29.1,29.1,31.4,0,20.5,80,10,0,62.07
29.1,29.1,29.1,31.6,0,20.5,80,10.3,35,62.08
28,28,28,30.1,0,16.6,100,8,27.5,65.77
27,27,27,28.8,0,16.6,100,9,27.5,69.74
26.8,26.8,26.8,28.6,0,9.4,140,10.3,35,71.14
26,26,26,,0,7.6,120,10.5,27.5,73.97
25,25,25,,0,11.2,130,10,0,78.5
25,25,25,,0,9.4,170,10.3,31.7,65.97
,,,,0,,,,,
,,,,0,,,,,
24.6,24.6,24.6,,0,11.2,260,8,80,78.43
,,,,0,,,,,
,,,,0,,,,,
22.3,22.3,22.3,,0,5.4,200,8,26.6,83.14
22,22,22,,0,0,0,6,27.5,83.11
21,21,21,,0,5.4,280,4,27.5,88.35
23.1,23.1,23.1,,0,3.6,280,4,60,85.84
23,23,23,,0,0,0,4,27.5,88.52
28,28,28,29.7,0,0,0,4,0,61.84
29.2,29.2,29.2,31.1,0,3.6,190,5,30,58.03
30,30,30,32.6,0,9.4,100,8,27.5,58.58
30,30,30,31.3,0,14.8,100,10.5,27.5,51.76
30.1,30.1,30.1,32.6,0,18.4,80,11,0,58.59
29,29,29,30.8,0,14.8,100,10,0,58.35
29,29,29,30.8,0,14.8,90,10,0,58.35
29.3,29.3,29.3,30.6,0,11.8,100,10,15,54
28.1,28.1,28.1,29.7,0,13,90,11,30,61.85
27.1,27.1,27.1,28.9,0,11.2,100,11,30,69.74
27.4,27.4,27.4,29.4,0,14.8,103,10.3,45,68.4
28,28,28,29.7,0,14.8,110,10.5,50,61.84
26,26,26,,0,13,120,10.5,27.5,65.36
26.3,26.3,26.3,,0,4.8,117,10.3,35,69.04
,,,,0,,,,,
,,,,0,,,,,
24,24,24,,0,2.5,215,8,35,79.98
23,23,23,,0,7.6,260,8,27.5,78.21
22,22,22,,0,7.6,250,8,27.5,83.11
22.2,22.2,22.2,,0,5.4,270,8.7,13.3,78.91
,,,,0,,,,,
22,22,22,,0,5.4,180,3,0,83.11
23,23,23,,0,0,,6,15,86.36
27.1,27.1,27.1,28.9,0,0,,8,0,69.74
27,27,27,28.5,0,5.4,130,10,0,65.56
28.3,28.3,28.3,29.5,0,9.4,140,10,15,56.75
29,29,29,30.8,0,13,60,10,0,58.35
29,29,29,30.8,0,14.8,120,10,0,58.35
29.4,29.4,29.4,31.2,0,14.8,100,10,15,56.44
30,30,30,31.3,0,13,100,10,0,51.76
30,30,30,31.9,0,11.2,90,10,0,55.08
29.3,29.3,29.3,30.8,0,10,90,10.3,38.3,54.92
29,29,29,30.8,0,11.2,70,10.5,50,58.35
27,27,27,28.5,0,5.4,100,10.5,27.5,65.56
27.6,27.6,27.6,29.8,0,5.4,80,10.3,63.3,68.44
27,27,27,28.8,0,11.2,90,10.5,50,69.74
27,27,27,28.8,0,9.4,70,10.5,27.5,69.74
27,27,27,29.3,0,9.4,140,7.7,38.3,75.35
26,26,26,,0,5.4,150,10,0,73.97
25,25,25,,0,3.6,200,10,0,78.5
25.1,25.1,25.1,,0,0,0,10.3,28.3,76.6
24,24,24,,0,3.6,260,8,27.5,83.34
,,,,0,,,,,
23.4,23.4,23.4,,0,0,,6,40,86.93
22,22,22,,0,5.4,250,4,0,88.44
22.1,22.1,22.1,,0,7.6,280,2,0,88.44
23,23,23,,0,1.2,230,1,10,87.09
26,26,26,,0,3.6,,2,0,73.97
28,28,28,30.1,0,5.4,200,3,0,65.77
29,29,29,31.5,0,2.4,,4,10,62.32
29,29,29,32,0,13,90,5,27.5,65.98
29,29,29,32,0,16.6,100,5,27.5,65.98
30.3,30.3,30.3,31.9,0,16.6,100,10.3,28.3,52.59
30,30,30,31.3,0,16.6,90,10,0,51.76
30,30,30,30.8,0,18.4,90,10,0,48.62
29.4,29.4,29.4,30.4,0,16.6,90,10,25,50.87
27,27,27,28.5,0,13,100,10,0,65.56
26,26,26,,0,13,100,10,0,73.97
26.3,26.3,26.3,,0,7.6,140,10,15,66.37
26,26,26,,0,5.4,140,10,0,65.36
25,25,25,,0,0,0,10,0,73.8
25.4,25.4,25.4,,0,0,,10,30,74.78
23,23,23,,0,0,0,10,0,78.21
23,23,23,,0,3.6,240,10,0,78.21
22.3,22.3,22.3,,0,5.4,290,10,15,82.8
,,,,0,,,,,
,,,,0,,,,,
21.4,21.4,21.4,,0,0,0,10,15,88.03
,,,,0,,,,,
21,21,21,,0,0,0,2,0,88.35
21.5,21.5,21.5,,0,8,240,3,13.3,91.19
25,25,25,,0,0,0,8,0,69.36
27,27,27,28.2,0,0,0,8,0,61.61
29,29,29,30,0,5.4,40,10,5,53.46
30,30,30,31.3,0,13,60,10,0,51.76
29,29,29,30.3,0,13,100,10,0,54.83
29.5,29.5,29.5,30.8,0,18.4,80,10,20,53.28
29,29,29,30.3,0,18.4,80,10,0,54.83
30,30,30,31.3,0,18.4,80,10,0,51.76
29.4,29.4,29.4,33,0,16.6,110,10,20,66.44
,,,,0,,,,,
27.1,27.1,27.1,28.6,0,13,120,11,30,65.57
26.4,26.4,26.4,,0,9.4,120,10.3,16.6,66.8
26,26,26,,0,9.4,110,10.5,50,69.55
25.1,25.1,25.1,,0,13,110,11,0,73.81
24.3,24.3,24.3,,0,1.2,130,10.3,13.3,74.46
23,23,23,,0,9.4,240,10.5,0,83.22
23.1,23.1,23.1,,0,5.4,260,11,0,78.22
22.4,22.4,22.4,,0,7.6,270,10.3,38.3,82.64
,,,,0,,,,,
,,,,0,,,,,
22,22,22,,0,0,0,7,38.3,84.15
21,21,21,,0,0,0,7,0,88.35
21,21,21,,0,0,,3,30,88.36
22.1,22.1,22.1,,0,0,0,8,45,87.54
25,25,25,,0,11.2,140,10.5,27.5,65.15
27,27,27,27.9,0,9.4,160,10.5,27.5,57.87
28.1,28.1,28.1,28.4,0,5.4,130,10.3,38.3,47.92
29,29,29,29.5,0,13,100,10.5,27.5,48.35
29,29,29,29.5,0,22.3,100,10.5,27.5,48.35
29.6,29.6,29.6,30,0,18.4,110,10.5,35,46.85
29,29,29,29.8,0,18.4,100,10.5,27.5,51.5
29.1,29.1,29.1,29.9,0,18.4,90,11,30,51.52
28.4,28.4,28.4,29.2,0,14.8,110,10.3,31.7,52.24
27,27,27,27.7,0,13,100,10.5,27.5,54.33
25,25,25,,0,11.2,100,10.5,27.5,65.15
27.3,27.3,27.3,28.4,0,13,120,10.5,55,58.32
25,25,25,,0,9.4,140,10.5,27.5,61.16
25,25,25,,0,1.8,,10.5,27.5,61.16
24.2,24.2,24.2,,0,0,0,10.3,45,67.34
,,,,0,,,,,
,,,,0,,,,,
21.4,21.4,21.4,,0,3.6,280,7,13.3,82.86
21,21,21,,0,7.6,270,5,0,82.99
,,,,0,,,,,
21.2,21.2,21.2,,0,0,,5,30,85.65
20,20,20,,0,5.4,200,5,27.5,88.27
20,20,20,,0,1.8,230,5,27.5,88.27
22,22,22,,0,5.6,285,5,15,85.2
24,24,24,,0,5.4,240,7,0,73.63
27,27,27,27.9,0,0,0,8,0,57.87
28.2,28.2,28.2,29.5,0,3.6,130,9,15,58.16
,,,,0,,,,,
29,29,29,29.5,0,14.8,120,10.5,27.5,48.35
29.4,29.4,29.4,29.8,0,18.4,113,10.3,28.3,46.47
29,29,29,29.8,0,20.5,80,10,0,51.5
28,28,28,29.2,0,20.5,80,10,0,58.11
28.3,28.3,28.3,29.5,0,16.6,80,10.3,28.3,57.22
27,27,27,28.2,0,16.6,100,10.5,27.5,61.61
26,26,26,,0,18.4,110,10.5,27.5,69.55
26.5,26.5,26.5,,0,18.4,120,10.5,35,68.16
26.1,26.1,26.1,,0,18.4,130,10,0,61.4
25,25,25,,0,14.8,150,10,0,65.15
24,24,24,,0,9.4,190,8,10,78.36
24.1,24.1,24.1,,0,7.6,240,8,0,73.64
23,23,23,,0,7.6,300,8,0,78.21
23.2,23.2,23.2,,0,5.4,230,8,30,83.24
22,22,22,,0,5.4,190,8,0,83.11
21,21,21,,0,11.2,280,8,0,82.99
21.4,21.4,21.4,,0,5.4,320,8,13.3,87.12
21,21,21,,0,5.4,220,5,0,88.36
,,,,0,,,,,
23,23,23,,0,0.9,,4,35,91.27
26,26,26,,0,0,0,5,27.5,73.97
,,,,0,,,,,
28,28,28,29.7,0,10,127,10.3,21.7,61.47
,,,,0,,,,,
28,28,28,29.7,0,18.4,130,10.5,27.5,61.84
29.2,29.2,29.2,31,0,15.4,107,10.3,31.7,57.55
28,28,28,30.1,0,13,90,10.5,27.5,65.77
,,,,0,,,,,
28.2,28.2,28.2,30.3,0,11.8,63,10.3,31.7,64.09
,,,,0,,,,,
27.1,27.1,27.1,28.9,0,9.4,50,11,30,69.74
27.1,27.1,27.1,29.1,0,4.5,295,10.5,40,71.27
26,26,26,,0,7.6,210,10.5,27.5,73.97
26,26,26,,0,9.4,190,10.5,27.5,73.97
26.1,26.1,26.1,,0,7.4,290,10.5,40,73.31
25,25,25,,0,0,0,10.5,27.5,73.8
23,23,23,,0,3.6,280,10.5,27.5,83.22
23.4,23.4,23.4,,0,0,0,9,31.7,83.61
22,22,22,,0,5.4,280,7,0,88.44
,,,,0,,,,,
22.7,22.7,22.7,,0,3.6,260,7,40,86.87
,,,,0,,,,,
21,21,21,,0,0,0,4,0,88.35
22.9,22.9,22.9,,0,0,0,6,10,92.21
26.1,26.1,26.1,,0,0,,8,0,73.98
27,27,27,28.8,0,5.4,150,10,0,69.74
28.1,28.1,28.1,30.1,0,11.2,120,10,15,64.2
,,,,0,,,,,
29,29,29,30.8,0,20.5,110,10.5,27.5,58.35
29.3,29.3,29.3,31.5,0,18.4,90,10.3,28.3,60
29,29,29,31.4,0,16.6,60,10.5,27.5,62.06
29,29,29,30.8,0,18.4,70,10,0,58.35
28.4,28.4,28.4,30.6,0,14.8,80,10,15,64.52
28,28,28,30.1,0,18.4,90,10.5,27.5,65.77
28,28,28,30.1,0,20.5,80,10.5,27.5,65.77
27.3,27.3,27.3,29,0,18.4,90,10.3,45,65.1
25.1,25.1,25.1,,0,9.4,110,11,30,73.81
25,25,25,,0,7.6,140,10.5,27.5,78.5
25.9,25.9,25.9,,0,12.4,150,10.3,35,67.26
25,25,25,,0,5.4,140,10,0,69.36
24.1,24.1,24.1,,0,1.8,130,10,0,78.36
23.3,23.3,23.3,,0,0,0,10,20,82.58
,,,,0,,,,,
,,,,0,,,,,
21.6,21.6,21.6,,0,3.6,280,6,13.3,91.76
22,22,22,,0,0,0,6,0,83.11
22,22,22,,0,0,0,3,0,88.44
23.2,23.2,23.2,,0,0.9,,2,5,87.72
25.1,25.1,25.1,,0,7.6,220,3,0,78.5
28,28,28,30.1,0,7.6,130,5,0,65.77
28.4,28.4,28.4,30.6,0,7.6,140,7,20,63.48
29,29,29,31.4,0,14.8,120,10.5,27.5,62.06
,,,,0,,,,,
29.4,29.4,29.4,31.6,0,16.6,100,10.5,20,59
29,29,29,31.4,0,16.6,100,10.5,27.5,62.06
29,29,29,31.4,0,14.8,80,10.5,27.5,62.06
29.4,29.4,29.4,31.3,0,9.4,100,10,30,57.71
28,28,28,29.7,0,16.6,80,10.5,27.5,61.84
27,27,27,28.8,0,14.8,100,8,27.5,69.74
27.4,27.4,27.4,29.4,0,14.2,100,8,31.7,68.4
,,,,0,,,,,
26,26,26,,0,13,100,8,27.5,73.97
27.2,27.2,27.2,29.7,0,12.1,75,8,35,75.31
,,,,0,,,,,
,,,,0,,,,,
24.4,24.4,24.4,,0,5.4,180,8,30,79.87
,,,,0,,,,,
,,,,0,,,,,
22.2,22.2,22.2,,0,0,,5,40,85.22
,,,,0,,,,,
,,,,0,,,,,
23,23,23,,0,0,0,2,10,92.59
26,26,26,,0,11.2,160,8,0,69.55
27,27,27,28.5,0,11.2,100,9,0,65.56
29.2,29.2,29.2,32,0,20.5,120,10,15,63.77
29,29,29,32,0,16.6,100,10,0,65.98
29,29,29,31.4,0,16.6,80,10,0,62.06
30.2,30.2,30.2,32.6,0,18.4,70,10.3,28.3,57.2
29.1,29.1,29.1,31.4,0,16.6,90,11,30,62.07
29,29,29,30.8,0,16.6,100,10.5,27.5,58.35
29.2,29.2,29.2,31.1,0,16.6,100,10.3,21.7,58.15
,,,,0,,,,,
27,27,27,29.2,0,13,100,10.5,27.5,74.14
27.4,27.4,27.4,29.7,0,13,100,10.3,28.3,71.98
27,27,27,29.2,0,11.2,110,10.5,0,74.14
27,27,27,29.2,0,9.4,140,10.5,0,74.14
26,26,26,,0,3.6,140,10.3,3.3,79.44
26,26,26,,0,3.6,160,10.5,0,73.97
25,25,25,,0,3.6,190,10.5,0,78.5
24.3,24.3,24.3,,0,3.6,270,8,3.3,83.88
,,,,0,,,,,
,,,,0,,,,,
23.4,23.4,23.4,,0,0,,5,10,89.64
,,,,0,,,,,
22,22,22,,0,3.6,280,3,0,94.06
24,24,24,,0,0,0,4,13.3,92.27
,,,,0,,,,,
28.1,28.1,28.1,30.8,0,7.6,150,9,0,69.93
29,29,29,31.6,0,5.4,110,10,20,64.37
29.1,29.1,29.1,32.9,0,13,80,10,0,70.12
30,30,30,33.3,0,16.6,110,10.5,27.5,62.28
30.4,30.4,30.4,33.5,0,18.4,120,10.3,31.7,59.52
30,30,30,34.1,0,18.4,100,10.5,27.5,66.18
30,30,30,33.3,0,18.4,90,10.5,27.5,62.28
29.3,29.3,29.3,32.5,0,16.6,90,10.3,31.7,65.12
28.1,28.1,28.1,30.2,0,18.4,100,11,30,65.78
27,27,27,29.2,0,14.8,100,10.5,27.5,74.14
27.4,27.4,27.4,29.8,0,14.8,80,10.3,38.3,72.27
,,,,0,,,,,
26.1,26.1,26.1,,0,9.4,290,8,0,73.98
25.6,25.6,25.6,,0,11.2,270,8,25,75.98
,,,,0,,,,,
,,,,0,,,,,
23.3,23.3,23.3,,0,5.4,260,5,25,82.5
,,,,0,,,,,
,,,,0,,,,,
22.3,22.3,22.3,,0,1.8,,5,25,84.98
,,,,0,,,,,
22,22,22,,0,0,0,6,0,83.11
23.6,23.6,23.6,,0,0,,6,40,86.42
26,26,26,,0,9.4,80,8,0,78.64
27.1,27.1,27.1,28.6,0,11.2,120,9,0,65.57
28.2,28.2,28.2,30.2,0,13.6,123,9,28.3,63.56
29,29,29,31.4,0,14.8,100,9,27.5,62.06
29.1,29.1,29.1,30.4,0,18.4,100,9,30,54.84
29.6,29.6,29.6,30.8,0,22.3,103,10,15,51.88
30,30,30,31.3,0,24.1,110,10,0,51.76
,,,,0,,,,,
29.1,29.1,29.1,31.2,0,16.6,90,10,10,60.56
27.1,27.1,27.1,28.6,0,16.6,100,10,0,65.57
,,,,0,,,,,
26.4,26.4,26.4,,0,16.6,100,10,20,71.81
26,26,26,,0,14.8,110,10.5,50,69.55
,,,,0,,,,,
25.1,25.1,25.1,,0,7.6,200,10,20,74.89
24.1,24.1,24.1,,0,7.6,240,10,0,78.36
23,23,23,,0,5.4,260,7,0,83.22
23.1,23.1,23.1,,0,7.6,230,7,13.3,83.24
22,22,22,,0,0,0,7,0,83.11
,,,,0,,,,,
21.6,21.6,21.6,,0,5.4,200,4,50,88.95
,,,,0,,,,,
21,21,21,,0,0,0,2,0,88.35
22.2,22.2,22.2,,0,0,,4,10,87.9
25,25,25,,0,5.4,180,,0,78.5
27,27,27,28.5,0,9.4,150,7,0,65.56
28.1,28.1,28.1,30,0,10.6,130,9,3.3,63.16
,,,,0,,,,,
28.1,28.1,28.1,30.2,0,16.6,100,11,30,65.78
29.2,29.2,29.2,30.7,0,14.8,93,10.3,21.7,55.46
29,29,29,30.3,0,20.5,70,10.5,27.5,54.83
28.1,28.1,28.1,29.3,0,25.9,60,11,30,58.12
28.3,28.3,28.3,29.9,0,20.5,90,10.3,28.3,60.27
27,27,27,28.2,0,14.8,100,10.5,27.5,61.61
26,26,26,,0,18.4,100,10.5,27.5,69.55
26.5,26.5,26.5,,0,16.6,100,10.3,35,67.82
26,26,26,,0,14.8,110,10.5,27.5,73.97
25,25,25,,0,11.2,110,10.5,27.5,78.5
25.4,25.4,25.4,,0,10,110,10.3,31.7,74.48
24.1,24.1,24.1,,0,7.6,110,11,30,78.36
25,25,25,,0,3.6,100,10.5,27.5,73.8
24.4,24.4,24.4,,0,5.4,260,10,40,83.38
,,,,0,,,,,
,,,,0,,,,,
21.4,21.4,21.4,,0,0,0,6,13.3,88.75
21,21,21,,0,5.4,270,6,0,88.35
20,20,20,,0,5.4,260,3,0,93.97
22.9,22.9,22.9,,0,0,,2,5,91.27
25,25,25,,0,7.6,190,3,0,83.45
27,27,27,28.5,0,9.4,140,7,0,65.56
28.1,28.1,28.1,30.1,0,11.2,120,7,21.7,64.2
28,28,28,29.7,0,16.6,100,8,27.5,61.84
,,,,0,,,,,
29.2,29.2,29.2,31.2,0,14.8,100,10.3,3.3,59.01
29,29,29,31.4,0,14.8,110,10.5,27.5,62.06
29,29,29,30.8,0,18.4,110,10.5,27.5,58.35
28.4,28.4,28.4,30.5,0,18.4,93,10.3,21.7,63.21
27,27,27,28.8,0,16.6,90,10.5,27.5,69.74
26,26,26,,0,13,100,8,27.5,73.97
27.7,27.7,27.7,29.8,0,13,100,8,10,68.59
26,26,26,,0,11.2,120,7,0,73.97
26,26,26,,0,11.2,130,6,0,73.97
26.1,26.1,26.1,,0,6.5,150,6,5,79.37
25.1,25.1,25.1,,0,0,,5,0,78.5
,,,,0,,,,,
24.1,24.1,24.1,,0,9.4,260,4,10,83.34
,,,,0,,,,,
,,,,0,,,,,
22.9,22.9,22.9,,0,0,,4,30,87.42
23.1,23.1,23.1,,0,5.4,280,3,30,83.23
22,22,22,,0,0,0,4,27.5,88.44
23.2,23.2,23.2,,0,0.9,,4,60,86.65
25,25,25,,0,0,0,6,27.5,78.5
25,25,25,,0,0,0,6,27.5,78.5
28.6,28.6,28.6,30.9,0,0.9,,10.5,40,64.09
30,30,30,32.6,0,11.2,130,10.5,27.5,58.58
31,31,31,34.6,0,14.8,110,10.5,27.5,58.81
30,30,30,34.1,0,18.4,100,10.5,27.5,66.18
30,30,30,33.3,0,18.4,100,10.5,27.5,62.28
30,30,30,33.3,0,18.4,100,10.5,27.5,62.28
29.4,29.4,29.4,32.5,0,18.4,100,10.3,45,64.73
28,28,28,30.7,0,14.8,100,10.5,27.5,69.92
28,28,28,31.3,0,14.8,100,10.5,27.5,74.3
28.3,28.3,28.3,31.9,0,13,120,10.5,70,73.25
28,28,28,31.3,0,14.8,110,10.5,50,74.3
28,28,28,31.3,0,18.4,80,10.5,50,74.3
28,28,28,31.4,0,11.2,80,10.3,38.3,74.31
26,26,26,,0,1.8,140,10.5,27.5,83.57
,,,,0,,,,,
26.4,26.4,26.4,,0,0,,10,80,83.6
,,,,0,,,,,
24,24,24,,0,3.6,220,8,27.5,83.34
24.9,24.9,24.9,,0,5.4,260,8,80,87.07
24,24,24,,0,0,0,7,27.5,83.34
24,24,24,,0,0,0,6,27.5,88.6
25.9,25.9,25.9,,0,0,,6,40,83.55
29,29,29,32.7,0,7.6,150,8,27.5,70.11
29,29,29,32.7,0,13,100,10.5,27.5,70.11
30.6,30.6,30.6,35.5,0,16.6,100,10.5,40,66.1
30.1,30.1,30.1,35.2,0,16.6,110,11,30,70.3
30,30,30,34.1,0,24.1,90,10.5,27.5,66.18
30.4,30.4,30.4,34.5,0,18.4,110,10.3,31.7,64.16
29,29,29,32.7,0,16.6,90,10.5,27.5,70.11
30,30,30,34.1,0,16.6,90,10.5,27.5,66.18
29.3,29.3,29.3,32.5,0,22.3,90,10.3,35,64.85
29,29,29,32.7,0,18.4,90,10.5,27.5,70.11
28,28,28,31.3,0,18.4,100,10.5,27.5,74.3
28.2,28.2,28.2,31.7,0,14.8,110,10.3,38.3,74.48
,,,,0,,,,,
27,27,27,29.6,0,9.4,110,10.5,50,78.78
26.2,26.2,26.2,,0,11.2,270,8,50,73.54
27.1,27.1,27.1,29.7,0,9.4,90,11,0,78.79
26.1,26.1,26.1,,0,5.4,110,11,0,83.57
25.4,25.4,25.4,,0,5.4,240,10.3,10,87.48
,,,,0,,,,,
24,24,24,,0,1.8,250,7,0,88.6
24.2,24.2,24.2,,0,7.6,280,5,10,88.62
,,,,0,,,,,
,,,,0,,,,,
24.9,24.9,24.9,,0,7.6,270,8,13.3,84.63
27,27,27,29.6,0,9.4,280,8,0,78.78
29,29,29,32.7,0,9.4,250,9,27.5,70.11
30.2,30.2,30.2,34.3,0,2.4,,10.3,31.7,65.29
31,31,31,34.6,0,5.4,90,10.5,27.5,58.81
,,,,0,,,,,
31.3,31.3,31.3,34.9,0,14.8,50,10.3,35,57.7
31,31,31,34.6,0,18.4,60,10.5,27.5,58.81
,,,,0,,,,,
28.5,28.5,28.5,31.5,0,14.8,170,10.3,45,68.62
,,,,0,,,,,
27.1,27.1,27.1,29.3,0,7.6,180,11,30,74.15
26.3,26.3,26.3,,0,0,,10.5,55,76.33
27,27,27,29.2,0,0,0,10.5,50,74.14
,,,,0,,,,,
27,27,27,29.4,0,4.2,300,8,63.3,76.12
26,26,26,,0,1.8,,8,27.5,78.64
25,25,25,,0,3.6,300,7,27.5,83.45
26,26,26,,0,1.2,,5,48.3,84.4
25,25,25,,0,7.6,280,5,27.5,83.45
,,,,0,,,,,
25.1,25.1,25.1,,0,7.6,280,5,90,89.22
24,24,24,,0,5.4,290,5,27.5,94.15
24,24,24,,0,5.4,270,5,89,94.15
25,25,25,,0,0.9,260,5,45,89.48
,,,,0,,,,,
27.1,27.1,27.1,29.7,0,0,,5,30,78.79
29.7,29.7,29.7,34.6,0,2.4,,7,38.3,71.23
30.1,30.1,30.1,35.2,0,11.2,70,7,30,70.3
29,29,29,33.6,0,13,90,7,27.5,74.47
30.4,30.4,30.4,34.7,0,20.5,80,9,50,65.06
30,30,30,34.1,0,18.4,80,10.5,27.5,66.18
30,30,30,35.1,0,13,70,10.5,27.5,70.29
29.1,29.1,29.1,33.7,0,13,100,10.3,48.3,73.74
28,28,28,31.3,0,18.4,100,10.5,27.5,74.3
28,28,28,31.3,0,16.6,100,8,50,74.3
27.6,27.6,27.6,30.7,0,22.3,100,9,60,76.52
28,28,28,31.3,0,20.5,120,8,27.5,74.3
,,,,0,,,,,
27,27,27,29.3,0,22.3,110,8,51.6,74.15
27.1,27.1,27.1,29.3,0,22.3,110,8,30,74.15
26.1,26.1,26.1,,0,18.4,80,8,30,83.57
26.2,26.2,26.2,,0,22.3,110,8,63.3,74.61
26,26,26,,0,11.2,140,9,27.5,73.97
,,,,0,,,,,
25.1,25.1,25.1,,0,9.4,220,6,60,86.04
25,25,25,,0,9.4,310,3,50,83.45
24,24,24,,0,9.4,280,3,27.5,88.6
25.1,25.1,25.1,,0.5,8.5,250,4,40,88.69
,,,,0,,,,,
,,,,0,,,,,
29.1,29.1,29.1,32.1,0,9.4,160,10.5,35,66.19
29,29,29,32,0,13,110,10.5,27.5,65.98
30,30,30,34.1,0,14.8,90,10.5,27.5,66.18
30.1,30.1,30.1,34.1,0,15.7,75,10.5,30,65.21
,,,,0,,,,,
29,29,29,32,0,20.5,80,10.5,27.5,65.98
29,29,29,31.6,0,17.2,83,10.3,31.7,63.98
28,28,28,30.7,0,18.4,100,10.5,27.5,69.92
27,27,27,29.2,0,18.4,100,8,27.5,74.14
27.4,27.4,27.4,29.9,0,18.4,90,7,35,73.45
27,27,27,29.2,0,18.4,90,7,27.5,74.14
,,,,0,,,,,
27.6,27.6,27.6,30.5,0,18.4,80,7,60,75.59
27,27,27,29.6,0,14.8,70,7,27.5,78.78
27.1,27.1,27.1,29.3,0,13,120,7,30,74.15
26.1,26.1,26.1,,0,7.6,127,7,28.3,78.98
,,,,0,,,,,
24,24,24,,0,5.4,270,7,27.5,88.6
24.2,24.2,24.2,,0,5,280,4,53.3,86.48
23,23,23,,0,7.6,280,4,27.5,88.52
24,24,24,,0,7.6,300,4,27.5,88.6
24.2,24.2,24.2,,0,3.6,250,1.3,45,88.26
,,,,0,,,,,
,,,,0,,,,,
28.2,28.2,28.2,30.5,0,7.6,160,5,90,66.61
28,28,28,30.1,0,9.4,130,6,27.5,65.77
,,,,0,,,,,
29.2,29.2,29.2,31.5,0,14.8,90,8,48.3,60.48
29,29,29,31.4,0,16.6,70,10.5,27.5,62.06
28,28,28,30.7,0,16.6,100,10.5,27.5,69.92
